id	Description	p.adjust	NES	negLogP
GO:0000768	syncytium formation by plasma membrane fusion	0.0183620705316394	1.83729178323068	1.7360783487467
GO:0001501	skeletal system development	0.010923815835042	1.4822195697963	1.96162563025505
GO:0001659	temperature homeostasis	0.00429805408432551	1.72782830640814	2.36672812388963
GO:0001819	positive regulation of cytokine production	2.90308853993506e-06	1.77562983969802	5.53713971862274
GO:0001906	cell killing	0.00363670795497364	1.76101213236435	2.43929157346713
GO:0001909	leukocyte mediated cytotoxicity	0.00530838093745694	1.84047818983888	2.27503791905943
GO:0001910	regulation of leukocyte mediated cytotoxicity	0.018035597142268	1.79161948130592	1.74386947401106
GO:0001935	endothelial cell proliferation	0.00304578178396097	1.78326223142065	2.51630121505659
GO:0001936	regulation of endothelial cell proliferation	0.0331756458557041	1.656069809384	1.47918061363796
GO:0002228	natural killer cell mediated immunity	0.021717542467045	1.78381795191491	1.66318932058347
GO:0002250	adaptive immune response	3.04195934277298e-06	1.86131669571053	5.51684659479562
GO:0002252	immune effector process	1.676e-07	1.82130982940694	6.77572598570574
GO:0002263	cell activation involved in immune response	0.000246860054571271	1.80732946057789	3.60754917933814
GO:0002521	leukocyte differentiation	7.19927015922955e-07	1.74329634253859	6.14271152883057
GO:0002685	regulation of leukocyte migration	0.000108528783629925	1.87729842990068	3.96445506445306
GO:0002697	regulation of immune effector process	5.89458521267484e-05	1.81079015000152	4.22954674971806
GO:0002831	regulation of response to biotic stimulus	0.00366768604703847	1.54423177206519	2.43560784690449
GO:0003018	vascular process in circulatory system	0.000199975015328162	1.87867000031441	3.69902426125063
GO:0003351	epithelial cilium movement involved in extracellular fluid movement	0.0240167433575324	-2.0087231901622	1.61948588276744
GO:0006364	rRNA processing	0.000291739464467084	-1.89246287248558	3.53500481859511
GO:0006809	nitric oxide biosynthetic process	0.0342538862719637	1.6960751922196	1.46529014853005
GO:0006858	extracellular transport	0.0168838448380125	-2.06847643341893	1.77252864765152
GO:0006897	endocytosis	0.000536137688008372	1.52979191133313	3.27072366280124
GO:0006911	phagocytosis, engulfment	0.00404392474418207	1.9092253838667	2.393196935052
GO:0006935	chemotaxis	1.41422183149047e-06	1.88070703264528	5.8494824627909
GO:0006954	inflammatory response	1.676e-07	1.82815973670604	6.77572598570574
GO:0006959	humoral immune response	0.00172187814086659	1.86154648989362	2.76399758727369
GO:0007159	leukocyte cell-cell adhesion	1.07818098452984e-05	1.81632631060649	4.96730833192733
GO:0007162	negative regulation of cell adhesion	0.0231311434431081	1.54667991423542	1.63580289819531
GO:0007268	chemical synaptic transmission	0.000554056792321128	1.5557463538963	3.2564457166298
GO:0007596	blood coagulation	0.00431868418446993	1.79234874631885	2.36464855375683
GO:0007610	behavior	0.00017375371083541	1.57745145565585	3.76006591146802
GO:0008217	regulation of blood pressure	0.012349364089898	1.69426496868242	1.90835540510542
GO:0009617	response to bacterium	1.19474694729896e-06	1.75213517049113	5.92272407047271
GO:0010466	negative regulation of peptidase activity	0.000957161877408585	1.89422441925621	3.01901460713423
GO:0010562	positive regulation of phosphorus metabolic process	0.0070287374042341	1.43004593851602	2.15312268175414
GO:0010720	positive regulation of cell development	0.0111127983688525	1.48556240381544	1.95417656544071
GO:0014074	response to purine-containing compound	0.0240322760720682	1.73298410747001	1.61920509566597
GO:0016064	immunoglobulin mediated immune response	0.0109480063959574	1.75381476422639	1.96066495754176
GO:0016072	rRNA metabolic process	0.00916893862724305	-1.61943881248619	2.03768093423289
GO:0022613	ribonucleoprotein complex biogenesis	7.19927015922955e-07	-1.90273125777457	6.14271152883057
GO:0022618	protein-RNA complex assembly	0.0272281627088604	-1.50412756200291	1.56498166282177
GO:0030001	metal ion transport	0.000598868168224045	1.55136320090448	3.22266877045569
GO:0030336	negative regulation of cell migration	0.0400890083271206	1.50674758122573	1.39697468666258
GO:0031341	regulation of cell killing	0.0094122483721957	1.79579262291513	2.02630662109963
GO:0031347	regulation of defense response	1.69132982690261e-06	1.65672674309318	5.77177169220354
GO:0032102	negative regulation of response to external stimulus	0.0214237056072274	1.52227347746198	1.66910540812683
GO:0032103	positive regulation of response to external stimulus	0.000340323410266572	1.5726928081465	3.46810817550043
GO:0032635	interleukin-6 production	0.000672178433281624	1.849380851937	3.17251542589963
GO:0032675	regulation of interleukin-6 production	0.00122498433732409	1.85114421302045	2.91186946416247
GO:0033993	response to lipid	0.024380106766319	1.38877513533543	1.61296439683406
